1,0.100,0.347,1,0.010000,0.000100
2,0.102,0.477,2,0.010000,0.000100
3,0.110,0.498,3,0.010000,0.000100
4,0.104,0.435,4,0.010000,0.000100
5,0.097,0.120,5,0.010000,0.000100
6,0.102,0.403,6,0.010000,0.000100
7,0.098,0.465,7,0.010000,0.000100
8,0.093,0.349,8,0.010000,0.000100
9,0.109,0.439,9,0.010000,0.000100
10,0.104,0.477,10,0.010000,0.000100
11,0.108,0.450,11,0.010000,0.000100
12,0.097,0.450,12,0.010000,0.000100
1,0.104,0.496,3,0.010000,0.000100
2,0.124,0.464,10,0.010000,0.000100
3,0.130,0.481,13,0.010000,0.000100
4,0.093,0.516,14,0.010000,0.000100
5,0.118,0.490,15,0.010000,0.000100
6,0.101,0.546,16,0.010000,0.000100
7,0.106,0.497,17,0.010000,0.000100
8,0.111,0.501,18,0.010000,0.000100
9,0.110,0.537,19,0.010000,0.000100
10,0.117,0.462,20,0.010000,0.000100
11,0.105,0.512,21,0.010000,0.000100
12,0.127,0.514,22,0.010000,0.000100
1,0.120,0.609,16,0.010000,0.000100
2,0.099,0.570,19,0.010000,0.000100
3,0.118,0.535,23,0.010000,0.000100
4,0.089,0.563,24,0.010000,0.000100
5,0.101,0.528,25,0.010000,0.000100
6,0.102,0.577,26,0.010000,0.000100
7,0.099,0.470,27,0.010000,0.000100
8,0.119,0.569,28,0.010000,0.000100
9,0.152,0.521,29,0.010000,0.000100
10,0.136,0.559,30,0.010000,0.000100
11,0.098,0.535,31,0.010000,0.000100
12,0.096,0.589,32,0.010000,0.000100
1,0.120,0.611,16,0.010000,0.000100
2,0.155,0.601,32,0.010000,0.000100
3,0.102,0.615,33,0.010000,0.000100
4,0.195,0.558,34,0.010000,0.000100
5,0.147,0.529,35,0.010000,0.000100
6,0.117,0.535,36,0.010000,0.000100
7,0.095,0.582,37,0.010000,0.000100
8,0.141,0.611,38,0.010000,0.000100
9,0.122,0.597,39,0.010000,0.000100
10,0.139,0.630,40,0.010000,0.000100
11,0.135,0.642,41,0.010000,0.000100
12,0.112,0.544,42,0.010000,0.000100
1,0.146,0.636,41,0.010000,0.000100
2,0.152,0.645,40,0.010000,0.000100
3,0.109,0.639,43,0.010000,0.000100
4,0.120,0.595,44,0.010000,0.000100
5,0.146,0.615,45,0.010000,0.000100
6,0.103,0.609,46,0.010000,0.000100
7,0.145,0.637,47,0.010000,0.000100
8,0.105,0.532,48,0.010000,0.000100
9,0.102,0.549,49,0.010000,0.000100
10,0.145,0.581,50,0.010000,0.000100
11,0.103,0.556,51,0.010000,0.000100
12,0.135,0.629,52,0.010000,0.000100
1,0.108,0.654,40,0.010000,0.000100
2,0.126,0.651,43,0.010000,0.000100
3,0.098,0.617,53,0.010000,0.000100
4,0.102,0.626,54,0.010000,0.000100
